"PATNO","EVENT_ID","cjv","cnr","efc","fber","rpve_csf","rpve_gm","rpve_wm","fwhm_avg","fwhm_x","fwhm_y","fwhm_z","summary_bg_k","summary_bg_mad","summary_bg_mean","summary_bg_median","summary_bg_n","summary_bg_p05","summary_bg_p95","summary_bg_stdv","summary_csf_k","summary_csf_mad","summary_csf_mean","summary_csf_median","summary_csf_n","summary_csf_p05","summary_csf_p95","summary_csf_stdv","summary_gm_k","summary_gm_mad","summary_gm_mean","summary_gm_median","summary_gm_n","summary_gm_p05","summary_gm_p95","summary_gm_stdv","summary_wm_k","summary_wm_mad","summary_wm_mean","summary_wm_median","summary_wm_n","summary_wm_p05","summary_wm_p95","summary_wm_stdv","icvs_csf","icvs_gm","icvs_wm","inu_med","inu_range","snr_csf","snr_gm","snr_total","snr_wm","snrd_csf","snrd_gm","snrd_total","snrd_wm"
"3861","BL","0.764654","1.123","0.600776","1563.01","7.27156","7.12264","7.22494","3.60369","3.67582","3.81217","3.32307","1258.33","0","8.10018","0","2510430","0","30.8357","22.7062","-0.777871","151.524","315.631","285.586","396702","72.8732","639.158","178.71","2.50948","91.1321","644.449","647.223","537210","297.766","967.515","190.326","-0.528656","105.626","881.31","904.54","531314","654.311","1054.32","125.55","0.270745","0.36664","0.362616","0.810743","0.363537","1.59804","3.40059","4.06775","7.20461","8.23994","18.6741","17.6708","26.0984"
"3862","BL","0.893587","0.938645","0.577595","1564.51","7.09753","6.93681","7.03513","3.56146","3.68701","3.62329","3.37408","878.674","11.7125","13.4012","7.89996","3227380","0","54.4548","28.9452","-0.650961","158.589","373.694","346.458","398814","98.8974","719.488","195.63","7.06021","91.132","713.969","713.827","539385","373.537","1029.45","193.834","-0.262615","100.715","920.103","928.52","562241","715.77","1101.6","117.926","0.265798","0.359484","0.374717","0.860434","0.422323","1.77099","3.68267","4.44248","7.87378","19.379","39.9278","37.0811","51.9366"
"3863","BL","0.85731","1.01608","0.572717","1553","7.78358","7.62567","7.71645","3.721","3.85351","3.81114","3.49834","654.104","12.9753","15.3135","8.75169","3572770","0","55.4709","42.9616","-0.780202","159.447","352.72","324.509","367315","88.8231","686.245","187.717","0.763353","95.733","712.13","707.798","498063","397.483","1021.73","184.932","-0.236565","100.574","925.902","936.779","506701","711.847","1110.99","121.409","0.267707","0.362999","0.369294","0.844291","0.374251","1.72871","3.82733","4.42398","7.71591","16.3848","35.7375","33.1405","47.299"
"3865","BL","0.89723","0.93582","0.586982","3475.03","7.2093","7.04509","7.13477","3.63964","3.73494","3.81523","3.36875","130.597","0","9.37091","0","2665290","0","40.1805","15.9509","-0.412456","126.088","275.773","245.38","391711","75.8917","573.571","151.9","5.0931","90.5999","647.945","663.086","531334","227.976","1000.86","217.793","-0.729427","122.584","886.133","900.688","557883","664.203","1076.24","129.521","0.264504","0.358784","0.376712","0.852546","0.445603","1.6154","3.04457","3.87132","6.95398","10.0783","27.2342","24.7685","36.993"
"3866","BL","0.629783","1.46854","0.533632","5028.46","8.24014","8.12534","8.22003","3.85524","3.98147","3.98176","3.6025","2036.87","0","4.76633","0","2235440","0","22.1414","9.90521","-0.72833","159.048","329.319","300","360053","73.5274","658.801","186.435","-0.0356074","94.9872","660.182","656.064","480835","390.298","953.292","159.676","-0.468702","85.1751","915.17","942.134","455700","698.51","1058.07","111.142","0.277693","0.370846","0.351461","0.691861","0.251952","1.60914","4.10873","4.73158","8.47688","19.8422","43.3925","41.8493","62.3133"
"3868","BL","0.959921","0.82931","0.601981","2900.01","6.59378","6.42595","6.52857","3.55637","3.66713","3.69325","3.30873","613.831","0","13.3571","0","2501790","0","48.6467","48.2527","-0.53573","123.243","301.277","274.311","419756","97.852","587.722","149.596","5.46598","89.8159","632.577","653.684","572164","214.34","990.149","225.403","-0.577698","119.102","865.615","871.325","621785","657.391","1061.65","125.45","0.26012","0.354565","0.385315","0.891958","0.490433","1.83367","2.90007","3.89311","6.94558","3.72437","8.87519","8.14323","11.8301"
"3870","BL","0.5665","1.92652","0.562059","3255.68","6.85262","6.7873","6.88274","3.87059","3.94367","3.99493","3.67316","5.72316","0","5.09268","0","2776030","0","22.3166","8.06836","-0.839668","169.784","387.431","374.556","416680","80.3089","721.776","205.344","-0.745084","100.863","692.837","685.869","590343","490.541","931.66","129.243","-0.254835","60.9069","961.507","971.429","547905","823.668","1063.2","72.1251","0.267974","0.37966","0.352367","0.571096","0.221956","1.82404","5.30681","6.8665","13.4687","30.4133","55.6913","54.9943","78.8783"
"3871","BL","0.669137","1.35953","0.598744","2396.73","6.19548","6.07625","6.17203","3.90538","3.98862","4.05928","3.66823","734.826","0","7.73952","0","2370080","0","28.2333","27.5694","-0.950206","161.948","350.049","323.04","447283","88.6556","685.032","191.472","1.99856","96.8189","682.969","678.811","638945","404.517","974.638","165.902","-0.426779","81.0214","926.504","944.586","631020","735.501","1062.37","99.664","0.260465","0.372075","0.36746","0.686199","0.319285","1.68714","4.09164","5.08549","9.4777","7.67645","16.1307","15.4178","22.4464"
"3900","BL","0.778911","1.01631","0.539823","10027.9","7.51983","7.37298","7.4745","4.13495","4.10382","4.3099","3.99113","6110.81","0","3.03433","0","2672140","0","12.8592","14.0249","0.143075","131.135","426.167","396.064","400333","191.77","738.734","171.355","10.5778","72.0329","723.156","736.442","541694","390.361","998.658","174.192","-0.636934","85.047","919.876","938.108","569691","752.432","1048.25","93.9932","0.26482","0.35833","0.37685","0.558444","0.185695","2.31136","4.22775","5.50657","9.98059","18.5011","34.401","32.2411","43.8213"
"3901","BL","0.688431","1.31099","0.502882","13266.3","7.8503","7.72951","7.80318","4.33633","4.32011","4.46658","4.22229","3888.38","0","2.35995","0","2948510","0","9.95694","18.3094","-0.287787","136.251","410.728","386.258","393315","178.821","711.877","162.248","1.86537","81.7905","752.352","752.512","529728","514.98","989.639","138.562","-0.366035","61.5091","945.272","960.666","532069","800.099","1045.93","75.3335","0.270298","0.364046","0.365655","0.41519","0.11643","2.38066","5.43088","6.85456","12.7522","13.8209","26.9259","25.0403","34.374"
